[Ep 106] Threat: -3.21, Dist: -6.64, Survive: 4.34, HP: -5.00, End: -1.42, Final: -11.44, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 107] Threat: -4.91, Dist: -7.69, Survive: 2.00, HP: -5.00, End: -1.73, Final: -16.83, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 108] Threat: -4.03, Dist: -4.10, Survive: 4.17, HP: -5.00, End: -1.44, Final: -9.92, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 109] Threat: -4.18, Dist: -4.64, Survive: 2.88, HP: -5.00, End: -1.62, Final: -12.06, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 110] Threat: -5.75, Dist: -6.79, Survive: 4.19, HP: -5.00, End: -1.44, Final: -14.30, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 111] Threat: -7.70, Dist: -7.05, Survive: 2.24, HP: -5.00, End: -1.70, Final: -18.71, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 112] Threat: -4.70, Dist: -3.98, Survive: 2.80, HP: -5.00, End: -1.63, Final: -12.01, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 113] Threat: -4.33, Dist: -3.19, Survive: 4.51, HP: -5.00, End: -1.40, Final: -8.92, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 114] Threat: -7.84, Dist: -4.98, Survive: 1.81, HP: -5.00, End: -1.76, Final: -17.27, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 115] Threat: -3.65, Dist: -3.59, Survive: 3.48, HP: -5.00, End: -1.54, Final: -9.80, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 116] Threat: -3.73, Dist: -3.12, Survive: 4.91, HP: -5.00, End: -1.35, Final: -7.78, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 117] Threat: -4.55, Dist: -4.65, Survive: 3.50, HP: -5.00, End: -1.53, Final: -11.73, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 118] Threat: -4.55, Dist: -3.13, Survive: 3.66, HP: -5.00, End: -1.51, Final: -10.04, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 119] Threat: -5.04, Dist: -5.71, Survive: 1.37, HP: -5.00, End: -1.82, Final: -15.69, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 120] Threat: -4.69, Dist: -5.93, Survive: 2.72, HP: -5.00, End: -1.64, Final: -14.05, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 121] Threat: -3.80, Dist: -3.79, Survive: 4.23, HP: -5.00, End: -1.44, Final: -9.31, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 122] Threat: -4.29, Dist: -7.93, Survive: 2.16, HP: -5.00, End: -1.71, Final: -16.27, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 123] Threat: -6.96, Dist: -6.41, Survive: 2.00, HP: -5.00, End: -1.73, Final: -17.60, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 124] Threat: -5.75, Dist: -7.17, Survive: 1.92, HP: -5.00, End: -1.74, Final: -17.24, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 125] Threat: -3.35, Dist: -4.41, Survive: 4.25, HP: -5.00, End: -1.43, Final: -9.45, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 126] Threat: -6.23, Dist: -4.39, Survive: 5.11, HP: -5.00, End: -1.32, Final: -11.33, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 127] Threat: -3.85, Dist: -4.32, Survive: 1.94, HP: -5.00, End: -1.74, Final: -12.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 128] Threat: -4.43, Dist: -6.36, Survive: 3.59, HP: -5.00, End: -1.52, Final: -13.23, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 129] Threat: -3.90, Dist: -5.71, Survive: 5.14, HP: -5.00, End: -1.32, Final: -10.29, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 130] Threat: -3.98, Dist: -3.60, Survive: 2.95, HP: -5.00, End: -1.61, Final: -10.74, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 131] Threat: -5.57, Dist: -6.55, Survive: 2.85, HP: -5.00, End: -1.62, Final: -15.39, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 132] Threat: -4.01, Dist: -6.93, Survive: 3.55, HP: -5.00, End: -1.53, Final: -13.42, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 133] Threat: -3.84, Dist: -7.78, Survive: 2.17, HP: -5.00, End: -1.71, Final: -15.66, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 134] Threat: -4.47, Dist: -4.45, Survive: 2.21, HP: -5.00, End: -1.71, Final: -12.92, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 135] Threat: -6.04, Dist: -3.78, Survive: 3.00, HP: -5.00, End: -1.60, Final: -12.92, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 136] Threat: -4.41, Dist: -5.20, Survive: 2.66, HP: -5.00, End: -1.65, Final: -13.09, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 137] Threat: -3.32, Dist: -4.85, Survive: 4.21, HP: -5.00, End: -1.44, Final: -9.90, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 138] Threat: -9.79, Dist: -5.78, Survive: 3.36, HP: -5.00, End: -1.55, Final: -18.28, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 139] Threat: -6.96, Dist: -7.11, Survive: 2.25, HP: -5.00, End: -1.70, Final: -18.01, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 140] Threat: -4.38, Dist: -7.50, Survive: 2.00, HP: -5.00, End: -1.73, Final: -16.11, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 141] Threat: -3.54, Dist: -5.40, Survive: 2.75, HP: -5.00, End: -1.63, Final: -12.32, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 142] Threat: -4.50, Dist: -4.58, Survive: 4.26, HP: -5.00, End: -1.43, Final: -10.75, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 143] Threat: -4.78, Dist: -4.79, Survive: 2.30, HP: -5.00, End: -1.69, Final: -13.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 144] Threat: -4.12, Dist: -8.60, Survive: 2.92, HP: -5.00, End: -1.61, Final: -15.92, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 145] Threat: -4.10, Dist: -3.11, Survive: 3.60, HP: -5.00, End: -1.52, Final: -9.64, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 146] Threat: -3.76, Dist: -7.92, Survive: 2.02, HP: -5.00, End: -1.73, Final: -15.89, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 147] Threat: -5.44, Dist: -5.49, Survive: 4.42, HP: -5.00, End: -1.41, Final: -12.42, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 148] Threat: -6.84, Dist: -5.08, Survive: 1.91, HP: -5.00, End: -1.74, Final: -16.25, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 149] Threat: -4.60, Dist: -6.33, Survive: 1.97, HP: -5.00, End: -1.74, Final: -15.19, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 150] Threat: -4.78, Dist: -6.16, Survive: 3.49, HP: -5.00, End: -1.54, Final: -13.49, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 151] Threat: -4.06, Dist: -7.62, Survive: 2.06, HP: -5.00, End: -1.73, Final: -15.85, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 152] Threat: -4.65, Dist: -4.71, Survive: 5.18, HP: -5.00, End: -1.31, Final: -9.99, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 153] Threat: -4.40, Dist: -4.50, Survive: 3.48, HP: -5.00, End: -1.54, Final: -11.46, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 154] Threat: -4.66, Dist: -5.51, Survive: 3.50, HP: -5.00, End: -1.53, Final: -12.70, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 155] Threat: -3.84, Dist: -4.60, Survive: 3.68, HP: -5.00, End: -1.51, Final: -10.77, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 156] Threat: -3.85, Dist: -5.00, Survive: 6.34, HP: -5.00, End: -1.15, Final: -8.16, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 157] Threat: -4.59, Dist: -5.72, Survive: 2.83, HP: -5.00, End: -1.62, Final: -13.60, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 158] Threat: -4.80, Dist: -5.78, Survive: 5.12, HP: -5.00, End: -1.32, Final: -11.28, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 159] Threat: -4.14, Dist: -4.26, Survive: 4.22, HP: -5.00, End: -1.44, Final: -10.13, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
[Ep 160] Threat: -5.68, Dist: -7.37, Survive: 2.02, HP: -5.00, End: -1.73, Final: -17.27, skullSpeed: 23, spawnInterval: 3, maxSkulls: 3
